Date,Frequency
2015-11-03,3
2015-11-04,1
2015-11-05,0
2015-11-06,3
2015-11-07,4
2015-11-08,6
2015-11-09,4
2015-11-10,4
2015-11-11,19
2015-11-12,11
2015-11-13,15
2015-11-14,4
2015-11-15,3
2015-11-16,10
2015-11-17,12
2015-11-18,10
2015-11-19,10
2015-11-20,16
2015-11-21,23
2015-11-22,14
2015-11-23,14
2015-11-24,21
2015-11-25,8
2015-11-26,22
2015-11-27,14
2015-11-28,18
2015-11-29,10
2015-11-30,36
2015-12-01,44
2015-12-02,26
2015-12-03,39
2015-12-04,56
2015-12-05,46
2015-12-06,39
2015-12-07,38
2015-12-08,38
2015-12-09,35
2015-12-10,27
2015-12-11,39
2015-12-12,33
2015-12-13,38
2015-12-14,39
2015-12-15,31
2015-12-16,22
2015-12-17,13
2015-12-18,11
2015-12-19,7
2015-12-20,6
2015-12-21,8
2015-12-22,4
2015-12-23,6
2015-12-24,1
2015-12-25,1
2015-12-26,3
2015-12-27,0
2015-12-28,3
2015-12-29,0
2015-12-30,12
2015-12-31,3
2016-01-01,0
